ചോദ്യം,ഉത്തരം
1978 ലെ ടോം റോബിൻസൺ ബാൻഡിന്റെ സിംഗിളിലെ കോർട്ടിന ഏത് നിറമാണ്?,ഗ്രേ
"ഓം ഏത് ഗ്രൂപ്പിനുള്ള ആദരാഞ്ജലി ബാൻഡാണ്?
","""ദ ഹൂ"""
"""ഇറ്റ് ടേക്സ് എ ലിക്കിംഗ് ആൻഡ് കീപ്പ്സ് ഓൺ ടിക്കിംഗ്"" എന്ന മുദ്രാവാക്യത്താൽ ഏത് ഉൽപ്പന്നമാണ് പരസ്യപ്പെടുത്തിയത്?",ടൈമെക്സ്
"ഭൂമിയിൽ നിന്ന് ഏകദേശം 11 കിലോമീറ്റർ ഉയരത്തിൽ, ഭൂമിയുടെ അന്തരീക്ഷത്തിലെ ഏറ്റവും താഴ്ന്ന ഭാഗത്തിന്റെ പേരെന്താണ്?
",ട്രോപ്പോസ്ഫിയര്
ഏത് രാജ്യത്തു നിന്നാണ് ഡ്രെസ്ഡൻ ചൈനീസ് ഉത്ഭവിച്ചത്?,ജർമ്മനി
1993 ലെ ഏത് സിനിമയാണ് എഴുത്തുകാരനായ സി. എസ്. ലൂയിസും കവി ജോയ് ഗ്രിഷാമും തമ്മിലുള്ള ബന്ധത്തെ കുറിച്ചുള്ളത്?,ഷാഡോലാൻഡ്‌സ്
"ഒരു പർഫിൾ ഒരു അലങ്കാര പരിധി ആണ്, സാധാരണയായി ഏത് സംഗീത ഉപകരണത്തിൽ ഉൾച്ചേർക്കുന്നു?",വയലറ്റ്
"""ആൻഡ്രൂ ലോയിഡ് വെബ്ബറും ബെൻ എൽട്ടനും ചേർന്ന് നിർമിച്ച ""ദി ബ്യൂട്ടിഫിൾ ഗെയിം"" എന്ന സംഗീതകഥയിൽ ഏത് കായിക ഇനമാണ് അവതരിപ്പിക്കുന്നത്?",സോക്കർ
"സമ്പത്തിന്റെ ഉറവ ഏത് ഏഷ്യൻ നഗരത്തിലാണ്?
",സിംഗപ്പൂർ
അയർലണ്ടിലെ ഔദ്യോഗിക ഭാഷകളിൽ ഒന്നാണ് ഐറിഷ്. മറ്റേത്?,ഇംഗ്ലീഷ്
1699-ൽ ഷെല്ലെൻബെർഗും വഡുസും എന്ന കൌണ്ടികളിൽ നിന്ന് ഏത് രാജ്യം രൂപീകരിച്ചു?,ലിസ്തെന്സ്റ്റൈൻ
ഗ്ലെൻ മില്ലറിന്റെ സിഗ്നേച്ചറി ഗാനം എന്തായിരുന്നു?,മൂൺലൈറ്റ് സെറെനേഡ്
" നടൻ റോജർ മൂറിന്റെ രണ്ടാമത്തെ ഭാര്യയായ ബ്രിട്ടീഷ് ഗായിക ആരാണ്?
",ഡൊരൊത്തി സ്ക്വൈര്സ്
"ഒരു ഫിൽബർട്ട് നട്ട് കൂടുതൽ സാധാരണയായി വിളിക്കുന്നത് എന്താണ്, അത് വഹിക്കുന്ന വൃക്ഷത്തിന്റെ പേരിലാണ്?",ഹെസെൽനട്ട്
റഷ്യൻ പതാകയുടെ തലകീഴായി മാറ്റുന്ന യൂറോപ്യൻ പതാക ഏത് രാജ്യമാണ്?,സെർബിയ
" 1812-ൽ പോർട്ട്സ്മൗത്തിലെ ലാൻഡ്‌പോർട്ടിലെ ഓൾഡ് കൊമേഴ്‌സ്യൽ റോഡിൽ ജനിച്ച ഇംഗ്ലീഷ് വിക്ടോറിയൻ എഴുത്തുകാരൻ ആരാണ്?
",ചാൾസ് ഡിക്കൻസ്
വേട്ടയാടുന്ന നായയുടെ ബസെൻജി ഇനത്തിന്റ ഉത്ഭവം ഏത് ഭൂഖണ്ഡത്തിൽ നിന്നാണ്?,ആഫ്രിക്ക
" ""റിസ്‌കി ബിസിനസ്"""""""" എന്ന സിനിമയിൽ ടോം ക്രൂസും """"""""മിയാമി വൈസ്"""""""""" എന്ന സിനിമയിൽ ഡോൺ ജോൺസണും ഏത് ബ്രാൻഡ് സൺഗ്ലാസാണ് ധരിച്ചത്?""""",റേ-ബാൻ
" 1970 കളിലും 80 കളിലും ഒരു ടെലിവിഷൻ പരമ്പരയിലൂടെ ലോകമെമ്പാടും പ്രശസ്തി നേടിയ നടൻ, നടിയും ഗായികയുമായ മേരി മാർട്ടിന്റെ മകനായിരുന്നു? 
",ലാറി ഹാഗ്മാന്
"‘ദി ട്രോപിക് ഓഫ് കാൻസർ’, ‘ദി ട്രോപിക് ഓഫ് കാപ്രിക്കോൺ’ എന്നീ നോവലുകൾ ഏത് എഴുത്തുകാരനാണ് എഴുതിയത്?
",ഹെൻറി മില്ലർ
വിക്ടർ ഹ്യൂഗോയുടെ നോട്ടര് ഡാമിലെ ഹന്ച്ബാക്ക് എന്ന ചിത്രത്തിൽ ക്വാസിമോഡോ പ്രണയത്തിലായ ജിഗാസി പെൺകുട്ടിയുടെ പേര് എന്താണ്?,എസ്മെരല്ദ
" ദി പ്രൊഫഷണൽസ് എന്ന ടിവി പരമ്പരയിൽ 'ഡോയൽ' ആയി അഭിനയിച്ചത് ആരാണ്?
",മാർട്ടിൻ ഷോ
"ബെറ്റൽജെസെ, റിഗെൽ, ബെലാട്രിക്സ്, മിന്റക, അല് നിലാം, മിന്റക, അല് നൈറ്റക്, അല് നൈറ്റക്, സൈഫ് എന്നീ നക്ഷത്രങ്ങൾ ഏത് രാശിയിൽ കാണാം?",ഒറിയോൺ
"ഏത് പ്രകൃതിദത്ത പദാർത്ഥം കൊണ്ടാണ് ഒരു അറ്റോൾ രൂപപ്പെടുന്നത്?
",പവിഴപ്പുറ്റ
ക്ളെയര് ഗ്രോഗന് ഏത് 80 കളിലെ ബാന് ഡ് ഗായകനായിരുന്നു?,ആൽറ്റേർഡ് ഇമേജസ്
മെക്സിക്കോ സിറ്റിയിലെ എസ്റ്റാഡോ അസ്റ്റെക്കയിൽ (1970 ലും 1986) രണ്ടുതവണ സംഭവിച്ചത് എന്തായിരുന്നു?,ലോകകപ്പ് ഫൈനൽ
ഡുൻനോക്ക്' എന്നറിയപ്പെടുന്നത് ഏത് പേരിലാണ്?,കാട്ടുരവി
ടാൻക്രെഡി എന്ന ഓപ്പറാരാണ് രചിച്ചത്?,റോസിനി
ഗ്ലാസ്ഗോയില് നടന്ന 2010 ലെ ലോക സ്നൂക്കര് ചാമ്പ്യൻഷിപ്പ് നേടിയത് ആര് ?,നീൽ റോബർട്ടസൺ
അക്കാദമിക് വകക്കാര് ധരിക്കുന്ന ഫ്ലാറ്റ് ഹാറ്റിന് പേരെന്ത് ?,മോർട്ടാർബോർഡ്
"ഒരു ഒപ്‌റ്റോമെട്രിസ്റ്റിന്റെ നേത്ര ചാർട്ടിന്റെ മുകളിലുള്ള അക്ഷരം ഏതാണ്?
",ഇ
ഏതുതരം ജീവികളാണ് തൈപാൻ?,പാമ്പ്
"സ്കോട്ടിഷ് ഫുട്ബോൾ ലീഗിൽ, ഏത് ടീമാണ് ഡംഫ്രിസിൽ ഹോം മത്സരങ്ങൾ കളിക്കുന്നത്?",ക്വീൻ ഓഫ് ദ സൗത്ത്
നോട്ട് വേവിംഗ് ബട്ട് ഡ്രൗണിംഗ്’ എന്ന കവിതയെ എഴുതിയത് ആര്?,സ്റ്റിവി സ്മിത്ത്
"അലക്സാ ഛുന് ഗ്, ലാന ഡെല് റെയ്, കാരാ ഡെലവിന് എന്നിവരുടെ പേരിൽ പേരുള്ള ബാഗുകൾ ഏതൊരു നിർമ്മാതാവാണ് നിർമ്മിച്ചിരിക്കുന്നത്?",മൾബെറി
"ഏത് മതത്തിലെ ആരാധനാലയമാണ് ഗുരുദ്വാര?
",സിഖ്
"തൊഴിലുടമ അല്ലെങ്കിൽ സൂപ്പർവൈസർ എന്നർത്ഥമുള്ള നാമപദം, ഒന്നാംതരം അല്ലെങ്കിൽ ഉന്നത നിലവാരം എന്നർത്ഥമുള്ള നാമവിശേഷണം, ഒരു ഗിറ്റാർ ഇഫക്റ്റ് പെഡൽ നിർമ്മാതാവിന്റെ പേര് എന്നിവ ഏത് പദമാകാം?
",ബോസ് .
പൊതു വിപണി അംഗത്വ ഉടമ്പടിയിൽ ഒപ്പുവെച്ച പ്രധാനമന്ത്രി ആരാണ്?,എഡ്വേർഡ് ഹീത്ത്
ബി. സി. 359 നും 336 നും ഇടയിൽ മാസിഡോണിയയെ ഭരിച്ച അലക്സാണ്ടർ മഹാനായുടെ പിതാവിന്റെ പേര് എന്താണ്?,ഫിലിപ്പ് രണ്ടാമൻ
വെസ്റ്റ് സോമര് സെറ്റ് റെയിൽവേ ബിഷപ്പ് ലൈഡര് ഡ് മുതൽ എവിടെ വരെ?,മൈൻ ഹെഡ്
" 'പ്രോസ്ക്രൈബ്' എന്ന ക്രിയയുടെ അർത്ഥം?
",നിരോധിച്ചിരിക്കുന്നു
"കാസാന്ഡ്ര, ഗ്രിസബെല്ലാ, സ്കിംബ്ലഷാങ്ക്‌സ് എന്നിവ ആൻഡ്രൂ ലോയ്ഡ് വെബ്ബർ രചിച്ച ഏത് മ്യൂസിക്കലിലെ കഥാപാത്രങ്ങളാണ്?",കാറ്റ്സ്
"""ഗോലിയാത്ത് ഏത് വംശത്തിൽ പെട്ടവനായിരുന്നു?""",ഫെലിസ്ത്യർ
"""ഏത് ടി. വി. ഡിറ്റക്ടീവ് സീരിയലിലാണ് ""ചാർലി ഹംഗർഫോർഡ്"" പ്രത്യക്ഷപ്പെട്ടത്?",ബെർഗെറാക്
ചാഥം ദ്വീപുകൾ ഏതു രാജ്യത്തേക്കാണ്?,ന്യൂസിലാന്റ്
"18-ാം നൂറ്റാണ്ടിലെ ഏത് നോവലിസ്റ്റാണ് “**ദ ഹിസ്റ്ററി ഓഫ് ടോം ജോൺസ്, എ ഫൗൻഡ്‌ലിങ്**
” രചിച്ചത്?",ഹെൻറി ഫീൽഡിംഗ്
"റിയാൾട്ടോ പാലം എവിടെയാണ്?
",വെനിസ്
"പരിക്കേറ്റ സൈനികർക്കു തൊഴിൽ നൽകുന്നതിനായി 1945-ൽ സ്ഥാപിതമായ, നിർമ്മാണ മേഖലയിലെ ഭിന്നശേഷിക്കാരെ പരമ്പരാഗതമായി തൊഴിൽ നൽകുന്ന യുകെ സർക്കാർ ധനസഹായം ലഭിക്കുന്ന കമ്പനി ഏതാണ്?",റെംപ്ലോയ്
"""നാറ്റ് കിംഗ് കോലിന് 1954 ൽ നേറ്റായ ഹിറ്റ് ആയ ""സ്മൈൽ"" എന്ന ഗാനത്തിന്റെ സംഗീതം ആരാണ് എഴുതിയത്, അത് മൈക്കൽ ജാക്സൺ തന്റെ 1995 ഇരട്ട ആൽബത്തിനായി റെക്കോർഡുചെയ്തു """"ഹൈസ്ട്രിഃ പാസ്റ്റ്, പാരന്റ് ആൻഡ് ഫ്യൂച്ചർ, ബുക്ക് ഐ""""?",ചാര് ലി ചാപ്ലിൻ
ക്രാബ് നെബുല ഏതു രാശിയിൽ ആണ്?,ടോറസ്
"ബൈബിൾ അനുസരിച്ച്, മോശെക്ക് 'പത്തു കല്പനകൾ' ലഭിച്ചത് ഏതു മലയിൽ? ",സിനായി
"17 - ാം നൂറ്റാണ്ടിലും 18 - ാം നൂറ്റാണ്ടിലും രചയിതാക്കളായ ഏത് പിതാവും മകനും റോം, നേപ്പാൾ, ഫ്ലോറൻസ്, മാഡ്രിഡ് എന്നിവിടങ്ങളിൽ ജീവിച്ചു. 120 ഓവർ ഓപ്പറകളും 600 ചാംബർ കാന്റാറ്റകളും 500 ഹാർപ്പികോർഡ് സോണാറ്റകളും രചിച്ചു.",സ്കാർലറ്റി
ജോൺ സ്വിഫ്റ്റ് നിക്ക് നെവിസൺ എന്തു കൊണ്ടാണ് പ്രശസ്തി നേടിയത്?,ഹൈവേമാന്
ബ്യൂണസ് ഐറസിൽ ബോകാ ജൂനിയേഴ്സും റിവർ പ്ലേറ്റ് കളിയും തമ്മിലുള്ള മത്സരമാണ് സൂപ്പർ ക്ലാസിക്കോ. ഏത് കായിക ഇനത്തിലാണ്?,സോക്കർ
ബാഹ്യശക്തികൾ പ്രയോഗിക്കാതെ ഒരു നേരായ വരിയിൽ വിശ്രമാവസ്ഥയോ സമാനമായ ചലനമോ നിലനിർത്തുന്ന വസ്തുവിന്റെ സ്വഭാവത്തിന് എന്ത് പേര്?,ജഡത്വം
ഏത് സിനിമയില് വില് സ്മിത്ത് മദ്യപാന പ്രശ്നമുള്ള സൂപ്പർ ഹീറോയായി അഭിനയിക്കുന്നു?,ഹാൻകോക്ക്
ഡർഹാം ഏതു നദിയുടെ അരികിലാണ്?,വിയർ
"യുകെ രാഷ്ട്രീയത്തിൽ, ലേബർ പാർട്ടിയുടെ ചിഹ്നം ഏത് പുഷ്പമാണ്?
",റോസ്
"ഇവെറ്റ് ഫീൽഡിംഗ് മോസ്റ്റ് ഹോണ്ടഡ് അവതരിപ്പിക്കുന്നതിന് മുമ്പ്, അവൾ ഏത് കുട്ടികളുടെ ടി.വി. പരിപാടിയിൽ അവതാരികയായിരുന്നുവ്?",ബ്ലൂ പീറ്റർ
2002 ലെ മിസ്റ്റർ ഡീഡ്സ് എന്ന സിനിമയിലെ നായക പങ്ക് ആര് വഹിച്ചു?,ആദം സാന്ഡ്ലര്
നെഫ്രോളജിസ്റ്റ് എന്തു പഠിക്കുന്നു?,വൃക്കകൾ
" ഡെൻമാർക്കിലെ അലക്സാണ്ട്ര ഏത് ഇംഗ്ലീഷ് രാജാവിനെയാണ് വിവാഹം കഴിച്ചത്?
",എഡ്വേർഡ് ഏഴാമൻ
" ബ്രസീലിന്റെ അടിസ്ഥാന കറൻസി എന്താണ്?
",റിയൽ
ലാൻസിങ് ഏത് യു. എസ് സംസ്ഥാനത്തിന്റെ തലസ്ഥാനമാണ്?,മിഷിഗാൻ
" എഫ്‌സി തോൺ, എഫ്‌സി സിയോൺ എന്നീ പേരുകളിൽ അറിയപ്പെടുന്ന മുൻനിര ഫുട്ബോൾ ലീഗ് ടീമുകൾ ഏത് രാജ്യത്താണ്?
",സ്വിറ്റ്സർലാന്റ്
422 സസ്യജാലങ്ങളിൽ ഏത് ജീനസ് ക്രെയിൻസ്ബിൾസ് എന്ന് വിളിക്കപ്പെടുന്നു?,ഗെറാനിയം
കുറ്റിച്ചെടി സിറിംഗ കൂടുതൽ സാധാരണമായ പേര് എന്താണ്?,ലിലാക്ക്
നോര് ഥംബര് ലാന്റ് ഡ്യൂക്കിന് റെ സീറ്റ് ഏതാണ്?,ആൽൻവിക് കോട്ട
""" 1940-കളിൽ ഏത് തരം സ്യൂട്ടാണ് ഫാഷനായി മാറിയത്, അതിൽ ടേപ്പറിംഗ് ട്രൗസറും വീതിയേറിയ തോളുള്ള നീളമുള്ള കോട്ടും ഉണ്ടായിരുന്നു?""",സൂട്ട് സ്യൂട്ട്
ജോർജ് ഒസ്ബോണിന് മുമ്പുള്ള അവസാനത്തെ കൺസർവേറ്റീവ് ചാൻസലർ ആരായിരുന്നു?,കെനെത്ത് ക്ലാർക്ക്
റെഡ് ബുളിന് അതിന്റെ പേര് കിട്ടിയത് ഏതു ഉത്തേജക വസ്തുവില് നിന്നാണ്?,ടൌറിൻ
" അയർലണ്ടിലെ ഏറ്റവും നീളം കൂടിയ നദി ഏതാണ്?
",ഷാനോൺ
കഷാലോട്ട് - പല്ലിനെ സൂചിപ്പിക്കുന്ന ഒരു പഴയ ഫ്രഞ്ച് വാക്ക് - ഏത് ജീവി എന്നാണു അറിയപ്പെടുന്നത്?,സ്പെർം വാലി
ഗ്രാൻഡ് നാഷണൽ കുതിരയുടെ ഏറ്റവും വിജയകരമായ കുതിര ഏതാണ്?,റെഡ് റം
2011 ഫെബ്രുവരിയിൽ ഒരു ഭൂകമ്പം 180 ലധികം പേരെ കൊന്നത് ഏത് ന്യൂസിലാന്റ് നഗരത്തിലാണ്?,ക്രൈസ്റ്റ്ചർച്ച്
വിൻസ് ഫുര് നിയെ ഏത് റോക്ക് സ്റ്റാർ എന്നാണു അറിയപ്പെടുന്നത്?,ആലിസ് കൂപ്പർ
ഡിറ്റക്ടീവ് ഇൻസ്പെക്ടർ തോമസ് ലിൻലി ആരുടെ നോവലുകളില് പ്രത്യക്ഷപ്പെടുന്നു?,എലിസബത്ത് ജോർജ്
"""ഗുഡ് ഗേൾ ഗോൺ ബാഡ്"" എന്ന ആൽബം 2009 ൽ 1.5 ദശലക്ഷം വിൽപ്പനയുള്ള യുകെയിലെ ഒന്നാം സ്ഥാനത്തെത്തി. ഗായകൻ ആരാണ്? """,റീഹാന
1867-ൽ 45 മിനിറ്റ് നീണ്ടുനിന്ന ഏറ്റവും ചുരുങ്ങിയ ബജറ്റ് പ്രസംഗം ആര് നടത്തിയിരുന്നു?,ബെഞ്ചമിൻ ഡിസ്റാലി
