question,answer
" The basenji breed of hunting dog originated on which continent?
",Africa
" ""What brand of sunglasses were worn by Tom Cruise in """"Risky Business"""" and Don Johnson in """"Miami Vice""""?""
",Ray-Ban
" Which actor, who achieved worldwide fame in a television series of the late 1970s and 80s was the son of the actress and singer Mary Martin?
",Larry hagman
" The novels ‘The Tropic of Cancer’ and ‘The Tropic of Capricorn’ were written by which author?
",Henry Miller
" What was the name of the gypsy girl that Quasimodo fell in love with in Victor Hugo's The Hunchback of Notre Dame?
",Esmeralda
" Who played 'Doyle' in the TV series The Professionals?
",Martin Shaw
" The stars Betelgeuse, Rigel, Bellatrix, Mintaka, Alnilam, Mintaka, Alnitak, Alnitak and Saiph are found in which constellation?
",Orion
" An atoll is formed by which natural substance?
",Coral
" Clare Grogan was the lead singer with which '80's band?
",Altered Images
" What has uniquely happened twice at Estadio Azteca in Mexico City (1970 and 1986)?
",World Cup Final
" What is the 'Dunnock' more commonly known as?
",Hedge sparrow
" Who composed the opera Tancredi?
",Rossini
" Who won the 2010 World Snooker championship in Glasgow?
",Neil Robertson
" What is the name of the flat hat worn by academics
",Mortarboard
" What letter is at the top of an optometrist's eye chart?
",E
" What type of creature is a taipan?
",Snake
" In the Scottish Football League, which team plays its home matches in Dumfries?
",Queen of the south
" Who wrote ‘Not Waving But Drowning’?
",Stevie Smith
" Handbags named in honour of Alexa Chung, Lana Del Rey and Cara Delevigne are all made by what manufacturer?
",Mulberry
" A Gurdwara is a place of worship in which religion?
",Sikhism
" What word can be a noun meaning an employer or supervisor, an adjective meaning first-rate or top notch and the name of a guitar effects pedal manufacturer?
",Boss
" Which Prime Minister signed the Common Market membership treaty?
",Edward heath
" What was the name of Alexander the Great's father who ruled Macedonia between 359 and 336BC?
",Philip ii
" The West Somerset Railway runs from Bishop's Lydeard towhere?
",Minehead
" The verb word 'proscribe' means to?
",Forbid
" Cassandra, Grizabella and Skimbleshanks are all characters in which Andrew Lloyd Webber musical?
",Cats
" To which race of people did Goliath belong?
",The Philistines
" ""In which T.V. Detective series did """"Charlie Hungerford"""" appear ?""
",Bergerac
" To which country do the Chatham Islands belong?
",New zealand
" Which 18th Century novelist wrote ‘The History of Tom Jones, A Foundling’?
",Henry Fielding
" Where is The Rialto bridge?
",Venice
" What UK government-funded company traditionally employing disabled people in manufacturing was founded in 1945 to provide work for injured soldiers?
",Remploy
" ""Who wrote the music for the song """"Smile"""", a hit for Nat King Cole in 1954 that was recorded by Michael Jackson for his 1995 double album """"HIStory: Past, Present and Future, Book I""""?""
",Charlie Chaplin
" The Crab Nebula is in which constellation?
",Taurus
" According to the Bible, on which mountain did Moses receive 'The Ten Commandments'?
",Mount sinai
" Which father and son, 17th and 18th century composers, between them lived in Rome, Naples, Florence and Madrid and composed over 120 operas, 600 chamber cantatas, and 500 harpsichord sonatas?
",Scarlatti
" John ‘Swift Nick’ Nevison found notoriety as what?
",Highwayman
" The Superclsico is contested between Boca Juniors and River Plate in Buenos Aires, in what sport?
",Soccer
" What is the name for the inherent property of matter to retain its state of rest or uniform motion in a straight line unless acted upon by external forces?
",Inertia
" In which film does Will Smith play a superhero with a drink problem?
",Hancock
" Upon which river does Durham stand?
",Wear
" In UK politics, what flower is the emblem of the Labour Party?
",Rose
" Before Yvette Fielding presented most haunted on which children's TV program was she also a presenter?
",Blue peter
" Who starred in the title role in the 2002 film, Mr Deeds?
",Adam Sandler
" What does a nephrologist study?
",The kidneys
" Alexandra of Denmark was married to which English king?
",Edward vii
" What is the basic currency of Brazil?
",Real
" Of which US State is Lansing the capital?
",Michigan
" Which country has top tier football league teams called FC Thon and FC Sion?
",Switzerland
" Which genus of 422 species of flowering plants are often known as cranesbills?
",Geraniums
" What is the more common name for the shrub syringa?
",Lilac
" What is the seat of the Duke of Northumberland?
",Alnwick Castle
" Which type of suit , with tapering trousers and a long wide shouldered coat , became fashionable in the 1940's ?
",Zoot suit
" Who was the last Conservative Chancellor before George Osborne?
",Kenneth clarke
" What stimulant does Red Bull get its name from?
",Taurine
" What is the longest river in Ireland?
",Shannon
" A cachalot - an old French word for tooth - is better known as what creature, the largest living toothed animal?
",Sperm Whale
" Which was the most successful Grand National horse?
",Red Rum
" In February 2011 an earthquake killed over 180 people in which New Zealand city?
",Christchurch
" Vince Furnier is better known as which rock star?
",Alice cooper
" Detective Inspector Thomas Lynley appears in novels by whom?
",Elizabeth george
" ""The album """"Good Girl Gone Bad"""" was the number 1 selling album in the UK in 2009 with sales of 1.5 million. Who was the singer?""
",Rihanna
" Who made the shortest ever Budget speech in 1867 lasting only 45 minutes?
",Benjamin disraeli
" What was the nuclear power station Sellafield previously known as?
",Windscale
" Corsican and Maritime are varieties of which tree?
",Pine
" The buccaneer Henry Morgan was pardoned and knighted by which king?
",Charles ii
" In which country would you find the ruins of the ancient Inca city known as Machu Picchu?
",Peru
" Who was the only president to resign from office?
",Richard Nixon
" Which former Welsh boxing championwas known as 'The ghost with the hammer in his hand'?
",Jimmy wilde
" The 1709 Battle of Malplaquet was part of which War?
",War of spanish succession
" What is Frodo's second name?
",Baggins
" In Rugby Union a high up-and-under kick is named after which Irish club?
",Garryowen
" By public vote In 2012 Shinzo Abe became Japan's new national?
",Prime Minister
" What is the name of the vinegar made from Trebbiano grapes?
",Balsamic vinegar
" The Law of Large Numbers is a principle which seeks to explain what, commonly considered inexplicable?
",Coincidences
" Which scientist was offered the presidency of Israel in 1952 by Prime Minister David Ben-Gurion?
",Albert Einstein
" The Appalachian and Hammered are two types of which traditional musical instrument?
",Dulcimer
" Who or what was Wilberforce who retired from 10 Downing Street In 1987
",Cat
" Which English football team plays ay Upton Park?
",West Ham United
" The BCG vaccine gives immunity against which disease?
",Tuberculosis
" Which tradesman would use a leggatt and a yealm in his work
",A thatcher
" Which Nick Hornby book concerned his being a fan of Arsenal?
",Fever Pitch
" James Grieve, Blenheim Orange, Irish Peach, and Ashmead's Kernel are traditional varieties of?
",Apples
" Who played Monica Geller in Friends?
",Courtney Cox
" The jazz classic Mood Indigo is particularly associated with whose orchestra?
",Duke Ellington
" What stringed instrument starts with Z, and is traditionally found in parts of Eastern Europe?
",Zither
" Who has won the Women's Singles title at Australia's premier tennis tournament, with 10 wins?
",Margaret Court
" Which Louisiana port is regarded as the birthplace of jazz
",New Orleans
" From which part of a plant do we get cinnamon
",Tree bark
" What is the name of the solid residue left after coal has been carbonised and almost all of its constituent volatiles removed?
",Coke
" What British actor did Elizabeth Taylor marry?
",Richard Burton
" Which animal is the subject of the 1984 film ‘A Private Function’?
",Pig
" 'The Landlord's Game', patented in the US by Elizabeth Magie in 1904, was a form of which now popular board game?
",Monopoly
" What is the name of the sheriff in the children’s television series ‘Four Feather Falls’, co-created by Gerry Anderson?
",Tex Tucker
" 23 out of the first 24 highest peaks in England lie in the Lake District with Scafell Pike being the highest. Which is the peak that does not lie in the Lake District, it is the 11th highest in England at 893 metres in height and is situated in the North Pennines ?
",Cross fell
" What classical ballet tells the story of Odette who is turned into a creature by an evil sorcerer's curse?
",Swan Lake
" What was the first sports event shown in colour on BBC TV?
",Wimbledon
" Caroline of Ansbach, a German noblewoman, was married to which British King?
",George ii
" If an insect is micropterous it has small or reduced what?
",Wings
" The 2009 biographical film The Last Station starring Christopher Plummer and Helen Mirren is about the last year in the life of which literary figure who died in 1910 at Astapovo train station?
",Leo Tolstoy
" Although approaching his 30th birthday, in which 1953 film did Marlon Brando play the part of the teenage leader of a motorcycle gang?
",The wild one
" Circe transformed Odysseus' companions into what?
",Swine
" What is the debris deposited by a glacier called
",Moraine
" In which US city was the first telephone exchange set up?
",Boston
" Who appeared on the first postage stamp?
",Victoria
" The Sunda Trench is the deepest part of which ocean?
",Indian Ocean
" In the cartoon series 'Asterix the Gaul' what is the name of the chief druid of Asterix's Gaulish village who makes all of the potions and medicines?
",Getafix
" What was the name of the hurricane that battered New York in October 2012?
",Hurricane Sandy
" Which English sculptor is famous for large abstract figures, and reclining figures, such as the one outside Fitzwilliam College, Cambridge?
",Henry moore
" What was the name of the highest caste in Indian society?
",Brahmin
" In sport, what is the informal name of the box or bench to which offending players be sent as a penalty during a game?
",Sin bin
" A note written in 1637 in the margin of a book says that there are no positive integers x, y and z such that xn + yn = zn, where n is an integer greater than two. This wasn't proved until 1995. Who is the author of this note?
",Pierre de Fermat
" In the 1971 film Willy Wonka was played by Gene Wilder, but who played him in the 2005 re-make Charlie And The Chocolate Facory?
",Johnny Depp
" Who was Home Secretary from 1979 to 1983?
",William whitelaw
" Used in gaming, what are ‘Devil’s bones’?
",Dice
" A group of which birds is known as a rafter?
",Turkeys
" The South African 'Handspring Puppet Company' won a special Tony award for which play?
",War Horse
" On which river does Preston stand?
",Ribble
" What relation was Richard II to his predecessor Edward III?
",Grandson
" Of which Caribbean country is Castries the capital?
",St lucia
" ""On 30 September 2010, the Allahabad High Court pronounced its verdict on four title suits relating to ownership of """"Ayodhya land"""", which had been disputed since 1853. Which country was this land in?""
",India
" For what does the C stand in the acronym UNESCO?
",Cultural
" Fashion brand Miu Miu is a subsidiary of which famous Italian fashion house?
",Prada
" Who played eventual winners Atltico Madrid in the final of the 2010 UEFA Europa League soccer competition?
",Fulham
" Who won the 500cc Motorcycle World Championship in 1976 & 1977 and retired from racing in 1984?
",Barry Sheene
" What name is given to a female rat?
",Doe
" ""Who supposedly said """"let them eat cake""""?""
",Marie Antoinette
" England's first road congestion charge was introduced in 2002, in which city?
",Durham
" What is the name of the former cabinet minister who, in March 2013 was jailed, along With his ex wife Vicky Price after she agreed to take his speeding points to avoid him losing his licence ?
",Chris HUHNE
" The first of the 59 ordered Boeing 787s was delivered Monday to All Nippon Airways. By what name is the aircraft known?
",Dreamliner
" Who was the Republican candidate defeated by Barack Obama in the 2008 Presidential election?
",John McCain
" Who wrote the book, now a successful play, 'War Horse'?
",Michael morpurgo
" On which London street would you find the famous 'Harrods' store?
",Brompton Road
" Which country does boxer Vitali Klitschko come from?
",Ukraine
" Which film musical starred Lee Marvin, Clint Eastwood and Jean Seberg?
",Paint your wagon
" Which town is on the A6 almost midway between Buxton and Matlock?
",Bakewell
" Single-Line, U-Shaped and Island are all designs of which room in the house?
",Kitchen
" The title of the Agatha Christie story By the Pricking of my Thumbs is a quote taken from which Shakespeare play?
",Macbeth
" What is the collective noun for lapwings
",Desert
" According to the bible, Zaccariah was the father of which New Testament figure?
",John the baptist
" If water bodies were left out and only land area were considered, what is the second largest country in the world after Russia?
",China
" If a leaf is obcordate, what shape is it?
",Heart-shaped
" Which Scottish queen had the sobriquet 'The Maid of Norway'?
",Queen margaret
" Which 1993 treaty established the European Union under its current name?
",Maastricht
" ""Which word best meets the definition """"The incline of the stage floor (or the theatre floor) away from the horizontal (lower at the downstage end)""""?""
",Rake
" The period in British history from 1795 to 1837 is often referred to as the ‘What…..era’?
",Regency era
" Which nation occupied most of modern Indonesia during the 2nd World War, 1942-45, effectively ending colonial rule? Germany; China; Japan; or USA?
",Japan
" What is an ornamental string of feathers?
",Boa
" Who was US President during the Cuban Missile Crisis?
",John F Kennedy
" Where did the Eureka Rebellion happen?
","Ballarat, Australia"
" In which town or city was General Motors founded?
","Flint, Michigan"
" On May 14, 1804, what group broke their winter camp, at Camp DuBois, before heading up the Missouri river to start their 2 1/2 year journey?
",Lewis and Clark
" In which book does the malevolent housekeeper Mrs Danvers appear?
",Rebecca
" Which family of monkeys have red and blue bottoms
",Mandrills
" Taking its name from a Portuguese dish of meat, garlic and wine, which hot curry originated in Goa?
",Vindaloo
" A plane crash close to Smolensk airport in western Russia killed almost half the leadership of which country?
",Poland
" In music, what name is given to a note that is neither sharp nor flat?
",Natural
" What African-American Christmas alternative was first celebrated in 1966?
",Kwanzaa
" What is the collective name of the two one-act plays by Terence Rattigan set in the Beauregard Private Hotel in Bournemouth?
",Separate tables
" The calcaneus is the Latin name for which part of the body?
",HEEL bone
" In which city was Archduke Ferdinand of Austria assassinated in 1914?
",Sarajevo
" Apry is a type of brandy flavoured with which fruit juice
",Apricot
" Which US actor is the voice of Gru in the 2010 animated film ‘Despicable Me’?
",Steve Carell
" What is Bangladesh's official unit of currency?
",Taka
" """"""Arise, children of the Fatherland, the day of glory is here"""" are the first words of which country's national anthem?""
",France
" What sparking wine from Catalonia is traditionally and incorrectly referred to as Spanish Champagne?
",Cava
" Which was the only team in the 2010 World Cup Finals in South Africa not to lose a match?
",New zealand
" What is the SI unit of conductance?
",Siemens
" Who was the first footballer to represent England at schoolboy, youth, amateur, under 23 and full international levels, he went on to have a distinguished managerial career?
",Terry Venables
" ""The writer of the book """"The Cruel Sea"""" was born in Rodney Street, Liverpool. What was his name?""
",Nicholas monsarrat
" Where might you expect to meet “a pretty nurse … selling poppies from a tray”?
",Penny lane
" Whos missing: Denver Nuggets, Utah Jazz, Portland Trail Blazers, Minnesota Timberwolves?
",Oklahoma City Thunder
" What is the term for playing a piece of music in a key other that in which it is written?
",Transposition
" Name the Jewish high priest at the time of the Crucifixion?
",Caiaphas
" Which term is commonly used for members of the Unification Church?
",Moonies
" Glenridding stands at the southern end and Pooley Bridge at the northern end of which Lake District lake?
",Ullswater
" In a series of 1980s TV commercials, high-end diners couldn’t tell the difference when their fresh ground roast coffee was “secretly replaced” with what brand of instant coffee?
",Folgers
" Which African capital city is served by 'Kotoka Airport'?
","ACCRA , Ghana"
" On a golf course, what is normally the only place you would be allowed to mark, lift and clean your ball?
",On the putting green
" ""Which singer/songwriter wrote the song, """"Hello Mary Lou"""" based on a song called, """"Merry, Merry, Lou"""", which became a big hit for Ricky Nelson in 1961?""
",Gene pitney
" What is the commonest name for a pub in Britain?
",The Red Lion
" Do You Know Where You're Going To? was the theme from which film?
",Mahogany
" Who is Australia's first female Prime Minister?
",Julia Gillard
" Edward II was murdered in Berkeley Castle in 1327, in which county is Berkeley Castle?
",Gloucestershire
" What do you call a piece of land that is surrounded on three sides by water?
",Peninsula
" Beside which river are the Indian cities of Delhi and Agra?
",Jumna
" Necromimesis is the feigning of what?
",Death
" Sevruga and osetrove are varieties of what?
",Caviar
" Which American abolitionist was one of a group who seized the Arsenal at Harper's Ferry in October 1859, was wounded, captured and, in December, hanged at Charleston?
",John Brown
" Whose ear did Mike Tyson bite a piece out of
",Evander Holyfield
" In Greek mythology, name the ship in which Jason sailed, in search of the 'Golden Fleece'?
",The argo
" Which cricket team will play 5 test matches against England in July and August this year?
",India
" In Scotland a bothy/bothie is a?
",House
" In which sport is the Stanley Cup awarded ?
",Ice hockey
" George Lazenby's only Bond film was 'On Her Majesty's Secret Service'. Who played  Blofeld in that film?
",Telly Savalas
" Now called the Willis Tower and standing 442 m in height, what was this building's previous name ? It was opened in 1973 and stands in the city of Chicago.
",Sears tower
" What is the correct term for a bunch of bananas
",A hand
" Which former college of the University of London became independent in July 2007?
",Imperial college
" On Feb 16, 1923, archeologist Howard Carter uncovered the tomb of whom?
",Tutankhamun
" Which type of seeds are traditionally used in a recipe for seed cake?
",Caraway seeds
" Poet Wendy Cope wrote ‘Making Cocoa For……’who’?
",Kingsley Amis
" Which stage musical based on a 1950 Oscar winning film was first staged in 1993?
",Sunset boulevard
" What is the fastest bird on land?
",Ostrich
" In 2000, the International Hydrographic Organisation created Earth's fifth ocean from southern portions of the Atlantic, Pacific and Indian Oceans. Which ocean?
",Southern ocean
" In Morse Code, which vowel is represented by a single dot?
",E
" Nadia Comaneci made her name in which sport?
",Gymnastics
" What was the name of the Dutch MP refused entry into the UK in early 2009?
",Gert Wilders
" Which of Henry VIII's wives is said to haunt Hampton Court?
",Catherine howard
" The liqueur creme de cassis is made with which fruit?
",Blackcurrants
" What is the capital of The Isle of man?
",Douglas
" In which country were the Tonton Macoute active?
",Haiti
" What is the plural of quantum?
",Quanta
" Following the Super Bowl, where did MVP Drew Brees announce he was going next?
",Disney World
" In the Bible what was the name of Cain's first-born son?
",Enoch
" In 2000 to 2002, which Grand Prix team won a hat-trick of constructors’ titles?
",Ferrari
" Aside from being a 'nuisance' if one gets into your garden, what is an animal called that feeds only on plants?
",Herbivore
" Lindholme Prison is situated dose to which English town or city?
",Doncaster
" Poldark Pride and Kernow Imperial Stout are recent beers from Coastal Brewery in which county?
",Cornwall
" In which US state is Tombstone, scene of the Gunfight at the OK Corral?
",Arizona
" In which ocean are the Scilly Isles?
",Atlantic
" In which U.S. state is Grand Teton National Park located?
",Wyoming
" Who left little Nancy in the toilets at the Plough Inn?
",David Cameron
" What was the name of the horse in the TV comedy 'Steptoe and Son'?
",Hercules
" Which general defended Moscow from the Germans in 1941?
",Zhukov
" The synthetic drug clomifene that comes in white 50 mg doses is prescribed to overcome what condition?
",Infertility
" Denis Papin is credited with inventing an early version of which kitchen device?
",Pressure cooker
" Which salad dressing is named after an archipelago in the St Lawrence seaway?
",Thousand Island
" What is an Alaskan Malamute?
",Dog
" The Jule Styne song Let Me Entertain You comes from which musical?
",Gypsy
" What type of creature is an alewife?
",Fish
" What are traditionally kept in a humidor?
",Cigars
" In which English town or city would you find the Hexagon theatre?
",Reading
" Whose ghost was the first to appear to Ebenezer Scrooge?
",Jacob Marley
" Granite is an example of what sort of rock?
",Igneous
" In the 1950s, what was Jersey Joe Walcott known for?
",Boxing
" What is the unusual collective noun for cougars
",Schoolyard
" What is the country of origin of Gruyere cheese?
",Switzerland
" In mediaeval years what would the regular occupants of a charterhouse be?
",Monks
" How many zeros are in a US billion?
",Nine
" What is a young eel usually called ?
",Elver
" Pat Murphy was the first presenter of which flagship BBC 1 current affairs programme, usually seen on Mondays since 1957?
",Panorama
" The Cuillin Hills are on which Scottish island?
",Skye
" The colour of the moon's sky, seen from the moon, is always the same, what is it?
",Black
" What name is shared by the chairs of the UK House of Commons and the US House of Representatives?
",Speaker
" What is the name of the Jewish mystical interpretation of Scripture, which comprises the Sepher Yezirah (Book of Creation) and the Zohar (Splendour) that has become popular with new age types?
",Kabbalah
" Allium porrum is the scientific name of which vegetable?
",Leek
" ""Which product was advertised on TV as """"it spreads straight from the fridge""""?""
",Blue band
" ""In which TV comedy has fictional actor Andy Millman cried on """"Celebrity Big Brother,"""" his agent Darren Lamb suggested anyone other than his only client for roles and Ross Kemp tried to steal sweets off the BBC?""
",Extras
" In our solar system, which planet is the coldest, with a mean surface temperature of minus two hundred degrees centigrade?
",Neptune
" Which Gloria co-founded Ms magazine?
",Steinem
" The Democracy Monument is in which Asian city?
",Bangkok
" Mussorgsky's composition Pictures at an Exhibition was originally written for piano. Who produced the most popular orchestral version in 1922?
",Maurice ravel
" Which musical show and film features the song 'Springtime for Hitler'?
",The producers
" Which 70s band that has recently been reformed by lead singer Les McKeown?
",Bay City Rollers
" Which of the works of Gilbert and Sullivan, when first presented at the Savoy Theatre in 1887, was billed as 'A New and Original Supernatural Opera in Two Acts'?
",Ruddigore
" Who played Will Scarlet in the 1980’s UK tv series ‘Robin of Sherwood’?
",Ray Winstone
" What was the trade of Bottom in a Midsummer Night's Dream
",Weaver
" What is the largest state in America?
",Alaska
" What is the capital and largest city of the Republic of Guinea?
",Conakry
" Which UK TV presenter called Gordon Brown a 'one-eyed Scottish idiot' ?
",Jeremy Clarkson
" Grace Cathedral is in which US city?
",San Francisco
" Nereid and Triton are satellites of which planet?
",Neptune
" What relation is Prince Philip to Queen Victoria ?
",Great great grandson
" Bratwurst is a greatly varying German food made mainly of?
",Meat
" Which country's national anthem is known in English as 'The March of the Volunteers'?
",China
" Who is elected by the College of Cardinals?
",The Pope
" The name of which electrical safeguard is abbreviated “RCD”?
",Residual Current Device
" Keswick stands at the northern end of which Lake District lake?
",Derwent Water
" Tansu Ciller was the first woman Prime Minister of which European country?
",Turkey
" What kind of shop bears an emblem attributed to the Medici family?
",Pawn Shop
" What bird is the symbol of Children's Penguin books ?
",Puffin
" Who told Michael Aspel, I'm always on the job
",Maggie Thatcher
" What was the name of the first nuclear powered civilian vessel, an icebreaker?
",Lenin
" Grupo Modelo and Femsit are the two major brewing companies in which country?
",Mexico
" Who is Arkham Asylum's most famous resident?
",The Joker
" Which British city's airport is located in the suberb of Turnhouse?
",Edinburgh
" Which soccer team was disbanded in 2008 for financial reasons after only one season in the Scottish Premier League?
",Gretna
" ""Who directed the movies """"Vertigo"""" and """"The Birds""""?""
",Alfred Hitchcock
" ""Who wrote the """"Sword of Honour"""" trilogy of novels?""
",Evelyn Waugh
" What US state borders both Kansas and Utah?
",Colorado
" Who played Ensign Wesley Crusher in Star Trek, The Next Generation?
",Wil Wheaton
" What is the duration of a round in men’s professional boxing?
",Three minutes
" How many months of the year have only 30 days?
",Four
" What is the distance one eighth of a mile normally called, used especially in horse racing?
",A Furlong
" ""Which film actor (1895-1926) is known for his films """"The Four Horsemen"""", """"The Sheik"""" and """"Blood And Sand""""?""
",Rudolph Valentino
" ""How did the theme song for the TV show """"The Monkees"""" begin?""
",Here we come
" ""What is a """"billet doux""""?""
",Love letter
" On 24 July 2010 at least 19 people are killed and 100 others injured in a stampede at which music festival in Duisburg, Germany?
",Love Parade
" What is the best-selling soda in the U.S. that is not made by Pepsi or Coke?
",Dr Pepper
" Who was the US President when Clement Attlee was the UK Prime Minister?
",Harry s truman
" In which US state is Milwaukee the most populous city?
",Wisconsin
" Which famoust picture by Constable shows a wagon in the river near Flatford?
",The Haywain
" What was the name of the actress who appeared in most Monty Python shows?
",Carol cleveland
" Havana Brown, Blue Russian and Devon Rex are varieties of which, animal?
",Cat
" Antares is the brightest star in which zodiacal constellation?
",Scorpio
" ‘Trust pink, Forget stains’ is the advertising slogan for which brand of laundry product?
",Vanish
" Mount Waas is in which US State?
",Utah
" ""A """"triple peel"""" is a manoeuvre that is common in what sport?""
",Croquet
" In which city was the 2015 Women’s Football World Cup Final held?
",Vancouver
" You might see a Haka at a game of what?
",Rugby
" Name the Scottish Football League club whose home ground is in Dumfries?
",Queen of the south
" Who disappeared from Bootle Strand on 12 February 1993?
",Jamie Bulger
" The painting ‘The Anatomy Lesson of Dr Nicolaes Tulp’ is the work of which Dutch artist?
",Rembrandt
" Who designed the National Theatre building on the South Bank in London ?
",Denys lasdun
" Which Czech composer wrote The Bartered Bride?
",Smetana
" Voiced by Steve Carell, Gru is the supervillain in which animated film and its sequel?
",Despicable Me
" What is the name of the railway company that operates services between St Pancras, the East Midlands and South Yorkshire?
",Midland mainline
" The Columbia Pictures logo in 1924 was a female figure, as now, but with a shield in her left hand and what in her right hand?
",Stick of wheat
" Blocking, Second, Weaving and Feint are terms used in which sport?
",Boxing
" What was the first of a succession of Soviet state security organisations, created by a decree issued on 20 December 1917 by Vladimir Lenin and subsequently led by Felix Dzerzhinsky?
",The Cheka
" The US city of Milwaukee stands on which lake?
",Michigan
" Canadian psychiatrist Eric Berne (1910-70) founded which psychotherapeutic/psychological methodology?
",Transactional Analysis
" What sea contains the gulfs of Finland and Bothnia?
",Baltic Sea
" Which London satirical venue was co-founded by Peter Cook and Nicholas Luard ?
",The establishment
" Where in the body would you find the mount of Apollo
",On the hand
" Who created the character 'Count Dracula'?
",Bram Stoker
" Which Sanskrit word means ‘awakened one’?
",Buddha
" ""What are the missing words in this phrase from the UK TV series starting in 1952 """"Bill and Ben, the .... Men""""?""
",Flower Pot
